REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,Value
BEL,Belgium,CHLD_NUTRITION,Child nutrition,,,IDX,Index,2.8
BEL,Belgium,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,0.9
BEL,Belgium,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,3.8
BEL,Belgium,COMM_ASSETS,Communication assets,,,IDX,Index,3.4
BEL,Belgium,DENGUE,Dengue,,,IDX,Index,0.0
BEL,Belgium,EDUCATION,Education,,,IDX,Index,0.2
BEL,Belgium,FLOODS_COASTAL,Coastal floods,,,IDX,Index,5.2
BEL,Belgium,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,4.0
BEL,Belgium,HEATWAVES,Heatwaves,,,IDX,Index,4.8
BEL,Belgium,MALARIA,Malaria,,,IDX,Index,0.0
BEL,Belgium,MAT_HEALTH,Maternal health,,,IDX,Index,0
BEL,Belgium,POLLUTION_AIR,Air pollution,,,IDX,Index,4.8
BEL,Belgium,POLLUTION_LEAD,Lead pollution,,,IDX,Index,4.8
BEL,Belgium,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.9
BEL,Belgium,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.4
"BEL,Belgium,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,2.2"
BEL,Belgium,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,2.2
BEL,Belgium,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,0.9
BEL,Belgium,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
BEL,Belgium,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.0
"BEL,Belgium,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
BEL,Belgium,WATER_SCARCITY,Water scarcity,,,IDX,Index,0.0
BEL,Belgium,ZIKA,Zika,,,IDX,Index,0.0
BEN,Benin,AEDES,Aedes,,,IDX,Index,9.6
BEN,Benin,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.6
BEN,Benin,CHLD_HEALTH,Child health,,,IDX,Index,8.4
BEN,Benin,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,9
BEN,Benin,CHLD_NUTRITION,Child nutrition,,,IDX,Index,9.5
BEN,Benin,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,8.1
BEN,Benin,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.1
BEN,Benin,COMM_ASSETS,Communication assets,,,IDX,Index,8.5
BEN,Benin,DENGUE,Dengue,,,IDX,Index,9.8
BEN,Benin,EDUCATION,Education,,,IDX,Index,6.1
BEN,Benin,FLOODS_COASTAL,Coastal floods,,,IDX,Index,1.6
BEN,Benin,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,7.4
BEN,Benin,HEATWAVES,Heatwaves,,,IDX,Index,7.3
BEN,Benin,MALARIA,Malaria,,,IDX,Index,5.5
BEN,Benin,MAT_HEALTH,Maternal health,,,IDX,Index,9
BEN,Benin,POLLUTION_AIR,Air pollution,,,IDX,Index,9.6
BEN,Benin,POLLUTION_LEAD,Lead pollution,,,IDX,Index,9.6
BEN,Benin,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.7
BEN,Benin,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,9.2
"BEN,Benin,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,7.7"
BEN,Benin,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,8.4
BEN,Benin,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6.2
BEN,Benin,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
